PRODUCT_NAME,BARCODE_NUMBER,MRP_PRICE,PRODUCT_IMAGE_LINK
"Cadbury 5 Star Chocolate , 10.1g",8901233020273,4.40,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/1/51astzerrql._sl1045_.jpg
"Cadbury Dairy Milk Silk Chocolate Home Treats, 162g",8901233033563,190.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/6184ajw_19l._sl1500_.jpg
Lotte Coffy Bite Rich Coffee Creamy Toffee 25g (Pack of 30),8901123005717,140.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/4/1/412mde3vkkl.jpg
"Pass Pass Pulse Litchi with Tangy Twist, 150 Units Jar",8901389050582,137.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61fv3pcpfgl._sl1032_.jpg
"Pass Pass Pulse Orange Guava Pineapple Triple Twist Candy, 150 Units Jar",8901389050599,137.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/4/1/41cid6q119l.jpg
"Nestle Classic Chocolate, 18g",8901058824209,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71f_x6p3bwl._sl1500_.jpg
"Kissan Mango Jam, 490g Jar",8901030540707,142.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61ogk5_snkl._sl1200_.jpg
"Heinz Chilli Sauce, 310g",8908012605065,76.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/e/heinz-chili-sauce-310g.jpg
"Hershey Spreads Cocoa, 350g",8901071701389,255.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/711cijq4wll._sl1500_.jpg
"Hershey Spreads, Cocoa with Almond, 150g",8901071701396,150.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61bvuvz9ntl._sl1322_.jpg
"Cadbury Oreo Dipped Cookie, 150g",8901233029979,60.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71bx3ia-d5l._sl1500_.jpg
"Cadbury Oreo Creme Biscuit Chocolate Flavour Family Pack, 300g",8901233027555,66.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/717mnvnqill._sl1500_.jpg
"Gone Mad Gery Biscuit - Cheese & Sugar Crackers, 20g",,7.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi51l3mfjpihl_1.jpg
"Gone Mad Gery Biscuit - Cheese & Sugar Crackers, 110g",8992775343906,57.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/4/1/41t05tpsrjl.jpg
"Pringles Potato Crisps Pizza Flavour, 110g",8886467112461,99.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/1/81yotieeexl._sl1500_.jpg
"Cadbury Temptation Almond Treat Chocolate, 72g",8901233035093,81.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61i2mumioul._sl1500_.jpg
Dabur Hajmola Regular - Tasty Digestive Tablets - 120 Tablets,8901207900839,33.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/1/51blsalffnl.jpg
Dabur Hajmola Tablet - 160 Tablets (Pudina),,152.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/9/1/91s-1oz1s-l._sl1500_.jpg
Dabur Hajmola - 160 Count (Chatcola),,152.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/4/1/41v5xcg6z1l.jpg
"Gone Mad Premium Dark Choco Sticks, 5 Sticks",,47.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61vjtcixyfl._sl1000_.jpg
"Heinz Tomato Ketchup, 900g",8908012605003,149.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/1/h1_1.jpg
"Heinz Tomato Ketchup, 200g",8908012605065,53.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/1/51ra_3-5rql._sl1000_.jpg
"Swastiks Gulab Jamin Ready Mix, 175g (Buy 1 Get 1)",8904103010022,123.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/s/w/swastiks.jpg
"Amul Dark Compound, 500g",8901262071819,90.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071819.jpg
"Amul Milk Compound, 500g",8901262071826,99.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071826.jpg
"Amul Chocominis Chocolate, 250g",8901262070546,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/5/1/51w2gryy5kl.jpg
"Amul Chocozoo Chocolate, 250g",8901262070195,105.60,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/9/1/91uaftppzql._sl1500_.jpg
"Dabur Honey, 50g",8901207045370,35.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901207045370.jpg
"Dabur Honey, 100g",8901207005374,57.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901207005374.jpg
"Amul White Compound WCO-20, 500g",8901262071833,105.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071833.jpg
"Amul White Chocolate WCH-28, 500g",8901262071802,189.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071802.jpg
"Cadbury Oreo Creme Biscuit Vanilla Sandwich Family Pack, 300g",8901233027548,66.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233027548.jpg
"Act II Classic Salted Instant Popcorn, 41g",8901512540102,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512540102.jpg
"Act II Chilli Surprise Instant Popcorn, 41g",8901512540409,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512540409.jpg
"Dabur Honey, 1Kg",8901207025389,375.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901207025389.jpg
"Amul Shrikhand Elaichi, 500g",8901262040013,95.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262040013.jpg
"Amul Almond Butter Nankhatai, 200g",8901262221375,81.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221375.png
"Amul Cashew Butter Nankhatai, 200g",8901262221368,79.20,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221368.png
"Amul Elaichi Butter Nankhatai, 200g",8901262221382,73.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221382.png
"Amul Elaichi Butter Nankhatai, 50g",8901262221290,22.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221290.png
"Amul Butter Cookies, 32g",8901262221313,10.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221313.png
"Amul Jeera Butter Cookies, 50g",8901262221269,10.80,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221269.png
"Amul Premium Elaichi Rusk, 200g",8901262221245,22.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262221245.jpg
"Parle Hide & Seek Chocolate Chip Biscuits, 100g",8901719105913,28.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901719105913.jpg
"Britannia 50 50 Maska Chaska Biscuits, 50g",8901063017252,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901063017252.jpg
"Cadbury Chocobakes Cookies, 75g",7622201098971,28.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/6/7622201098971.jpg
"Lays Cream & Onion Flavour, 30g",8901491503037,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901491503037_1.jpg
"Lays Magic Masala Flavour, 30g",8901491503020,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901491503020.jpg
"Kurkure Masala Munch Snack, 22.25g",8901491367219,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901491367219.jpg
"Kurkure Naughty Tomato Snack, 21.5",8901491104470,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901491104470.jpg
"Act Corn Puffz Juicy Tomato, 44g",8901512911407,9.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512565402.jpg
"Act II Tomato Chilli Popcorn, 12g",8901512565105,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512565105.jpg
"Act II Simply Salted Popcorn, 12g",8901512563200,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512563200.jpg
"Act II Sweet & Salty Popcorn, 12g",8901512565204,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512565204.jpg
